caption, comment, image
外木製玄関手摺り 現調（施工前),,11a1
外木製玄関手摺り 完成（施工後）,かなり傷みがひどく、腐食も進んでいましたので、取り替えて、笠木をつけ水切りを良くしました。,11a2
外部にある物置 現調（施工前),,11a4
外部にある物置 完成（施工後）,汚れをペーパで落としながら念入りに刷毛で仕上げていきます。,11a5
外壁建具の塗装 現調（施工前),,11a3
外壁建具の塗装 完成（施工後）,網戸も変えて建具を丁寧に刷毛で仕上げます。色むらがないように何回も重ね塗りを行います。,11a3_
木製デッキ 現調（施工前),,11a6
木製デッキ 完成（施工後）,3年〜5年を目安に小まめに塗装をして木部が腐食する前に塗らないと、デッキの面影もなく朽ちてしまいます。塗料としてはキシラデコールがよく使われています。,11a7
桁・母屋・垂木 現調（施工前),,11a12
桁・母屋・垂木 完成（施工後）,構造材は刷毛塗りで仕上げます。色を合わせるために何回も重ねて塗って行きます。,11a13
木製の外壁 現調（施工前),,11a14
木製の外壁 完成（施工後）,汚れが重なってくると黒くなってしまいます。色抜きをして、再度塗る場合と前の色より濃い色を使って傷みを目立たないように仕上げます。木部専用のキシラデコールが使われます。,11a15
木製の建具 現調（施工前),,11a16
木製の建具 完成（施工後）,北面の建具もシッカリ塗装、細かな塗りは刷毛を使って手塗りで何回も塗り重ねていきます。,11a17
施工前 (11/5),  現調（現状把握),  hhh1
既設撤去  (2/2),  既設の手摺の撤去,  hhh2
養生設置 (2/14) ,  檜木製手摺りの据付,  hhh3
足場の準備(2/25),  整理整頓して並べます。,  hhh4
足場組み(2/28),  北面,  hhh228
足場組み,  南面,  hhh302
ペーパー掛け(3/7),  塗装が付着しやすくするために木部のペーパー掛けをします。,  ht111
ガードラック手塗り(3/9),  塗装を丁寧に刷毛で塗っていきます。,  hhh3_9
垂木も手塗り(3/9),駐車場の屋根も丁寧に刷毛で塗っていきます。,hhh3_9_2
その1,,hhh124
その2,,  hhh125
その3,,  hhh123
建具の塗装 (3/14) ,  建具も手塗りで丁寧に仕上げます。,  i133
建具の塗装 (3/14) ,  各所建具も全体のバランスを見ながら色を合わせて仕上げます。,  i134
建具の塗装 (3/15) ,  建具も2回目の上塗り、丁寧に仕上げます。,  hyt55
破風板の塗装 (3/15) ,  破風板も色を合わせて仕上げます。,  hyt44
垂木・桁の塗装 (3/15) ,  垂木も桁も2回目の上塗り、丁寧に仕上げます。,  hyt33
車庫の内部の塗装 (3/15) ,  桁も2回目の仕上げで色を合わせていきます。,  hyt808
玄関手摺の塗装準備 (3/16) ,  手摺も塗装の準備で姿を現しました。（桧材を使用しました。）,  hyt606
建具の塗装 (3/16) ,  物置の建具も丁寧に仕上げます。,  hyt707
屋根垂木・桁の塗装 (3/16) ,  屋根垂木・桁も2回目の上塗りで色を合わせます。,  hyt101
施工後 (3/20),  2回塗りの後,  320h1
玄関手摺  (3/20),  手摺の塗装も完了しました。,  320h2
玄関手摺（拡大） (3/20) ,  檜木製手摺りの塗装（拡大）,  320h3
車庫の南面 (3/20),  柱・土台・屋根垂木の仕上げ塗装,  320h4
車庫の母屋と桁 (3/20) ,  落ち着いた色合いが出てきました。,  320h5
北面の建具 (3/20) ,  趣のある色合いに仕上がりました。,  320h6
完工 (3/28),  南側全景,  1nk1
完工 (3/28),  北側全景,  1nk2
完工 (3/28),  東側全景,  1nk3
完工 (3/28) ,  西側全景,  1nk4
完工 (3/28),  車庫全景,  1nk5
完工 (3/28),  車庫全景,  1nk6
完工 (3/28),  玄関木製手摺り,  1nk7
完工 (3/28),  玄関木製手摺り,  1nk8
完工 (3/28),  玄関木製手摺り,  1nk10
完工 (3/28),  玄関木製手摺り,  1nk9
完工 (3/28),  木製玄関扉,  1nk11
完工 (3/28),  玄関木製手摺り,  1nk12
完工 (3/28),  軒天・庇,  1nk14
完工 (3/28),  軒天・庇,  1nk15
完工 (3/28),  軒天・庇,  1nk16
完工 (3/28),  軒天・庇,  1nk17
