caption, comment, image
塗装前(10/6)現状把握1, , kha00.jpg
現状把握2, , kha011.jpg
現状把握3, , khb10.jpg
現状把握4, , khd1.jpg
現状把握5, , kha6.jpg
現状把握6, , kha1.jpg
現状把握7, , kha8.jpg
現状把握8, , kha9.jpg
現状把握9, , khb11b.jpg
現状把握10, , kh1.jpg
足場組み(10/7), 足場の後はシートを張ります, khb11.jpg
足場組み2, , khb12.jpg
足場組み3, , khb12.jpg
足場組み4, , kh2.jpg
高圧洗浄（水洗い）(10/8), 洗浄後の木肌, khc11.jpg
高圧洗浄（水洗い）2, , khc12.jpg
高圧洗浄（水洗い）3, , khc013.jpg
高圧洗浄（水洗い）4, , khc14.jpg
高圧洗浄（水洗い）5, , ikhc015.jpg
高圧洗浄（水洗い）6, , kh3.jpg
木部表面の乾燥(10/10), 乾燥後の木部外壁です。, khd15.jpg
木部表面の乾燥2, , khd13.jpg
木部表面の乾燥3, , khd14.jpg
木部表面の乾燥4, , khd16.jpg
木部表面の乾燥5, , khd17.jpg
木部表面の乾燥6, , khd12.jpg
ペーパー掛け(10/11-12), 柱、外壁等はペーパーを掛け、塗装がのり易いようにします。, khe8.jpg
ペーパー掛け2, , khe2.jpg
ペーパー掛け3, , khe3.jpg
ペーパー掛け4, , khe4.jpg
ペーパー掛け5, , khe9.jpg
ペーパー掛け6, , khe1.jpg
サンダー掛け、養生(10/14), さらに木部の汚れを詳細に取り除きます。同時に養生を行います。, ay1.jpg
サンダー掛け、養生2, , ay2.jpg
サンダー掛け、養生3, , ay3.jpg
サンダー掛け、養生4, , ay4.jpg
サンダー掛け、養生5, , ay5.jpg
サンダー掛け、養生6, , ay6.jpg
サンダー掛け、養生7, , ay7.jpg
サンダー掛け、養生8, , ay8.jpg
サンダー掛け、養生9, , ay9.jpg
サンダー掛け、養生10, , ay0.jpg
外壁下塗り(10/15), ペーパー、サンダー掛けの後は入念に下塗りと上塗りをします。, ai13.jpg
外壁下塗り2, , ai12.jpg
外壁下塗り3, , aii13.jpg
外壁下塗り4, , ai14.jpg
外壁下塗り5, , ai15.jpg
外壁下塗り6, , ai16.jpg
外壁下塗り7, , ai11.jpg
上塗り（付帯塗装）(10/16), 上塗りを重ねて光沢が出てると、新築の風貌が蘇ります。, ah14.jpg
上塗り（付帯塗装）2, , ah11.jpg
上塗り（付帯塗装）3, , ah13.jpg
上塗り（付帯塗装）4, , ah15.jpg
上塗り（付帯塗装）5, , ah16.jpg
上塗り（付帯塗装）6, , ah17.jpg
上塗り（付帯塗装）7, , ah18.jpg
上塗り（付帯塗装）8, , ah20.jpg
上塗り（付帯塗装）9, , ah33.jpg
上塗り（付帯塗装）10, , ah32.jpg
上塗り（付帯塗装）11, , ah10.jpg
上塗り細部塗装(10/18), 補修塗装で、細部にわたり手塗りで入念に仕上げます。, af1.jpg
上塗り細部塗装2, , af2.jpg
上塗り細部塗装3, , af3.jpg
上塗り細部塗装4, , af4.jpg
上塗り細部塗装5, , af5.jpg
上塗り細部塗装6, , af6.jpg
上塗り細部塗装7, , af7.jpg
上塗り細部塗装8, , af8.jpg
上塗り細部塗装9, , af9.jpg
上塗り細部塗装10, , af10.jpg
タッチアップ(10/20), 完工で足場があるうちに塗装状態をチェックします。, e1.jpg
タッチアップ2, , e2.jpg
タッチアップ3, , e3.jpg
タッチアップ4, , e4.jpg
タッチアップ5, , e5.jpg
タッチアップ6, , e6.jpg
タッチアップ7, , e7.jpg
タッチアップ8, , e8.jpg
タッチアップ9, , e9.jpg
タッチアップ10, , e10.jpg
タッチアップ11, , e0.jpg
足場外し再チェック(10/22), 足場外を外し、補修塗装で、塗装の状態をチェックします。, au12.jpg
足場外し再チェック2, , au13.jpg
足場外し再チェック3, , au14.jpg
足場外し再チェック4, , au15.jpg
足場外し再チェック5, , au16.jpg
足場外し再チェック6, , au17.jpg
足場外し再チェック7, , au1.jpg
完成1, 足場を取り外し完成です。, ax1.jpg
完成2, , ax2.jpg
完成3, , ax4.jpg
完成4, , ax5.jpg
完成5, , ax6.jpg
完成6, , ax7.jpg
完成7, , ssa12.jpg
完成8, , ss00.jpg
完成9, , sab1.jpg
完成10, , ss102.jpg
完成11, , sab33.jpg
