caption, comment, image
現状, 内部に汚れが溜りクーラーの効きがかなり悪くなったので清掃の依頼がありました。, kr0.jpg
カバーの取外し, 丁寧に取り外していきます。, kr1.jpg
外部カバーの取外し, , kr0_1.jpg
クーラーパーツの取外し, , kr2.jpg
外部カバーの取り外し, , kr3.jpg
丹念に油を取り除く, クーラーの内部の汚れや埃を丁寧に洗い流していきます。, kr4.jpg
クーラーカバーの清掃, 綺麗になりました。, kr5.jpg
油膜の拭き取り, 油等を下の廃棄袋で受けて取ります。, kr6.jpg
汚れた油等の回収, クーラーについた油膜や油を袋に入れて丁寧に回収します。, kr7.jpg
クーラー内部の清掃, 埃、油等の汚れを拭き取りクーラーの冷房の出口を清潔に保ちます。, kr8.jpg
内部カバーの取付け1, , kr9.jpg
内部カバーの取付け2, , kr10.jpg
フィルターの取付け, , kr11.jpg
クーラーカバーの取付け, , kr12.jpg
清掃後の動作確認, , kr13.jpg
完成, , kr14.jpg
