caption, comment, image
施工前, ,f000.jpg
瓦の剥がし1, 瓦トメの取付,f001.jpg
瓦の剥がし2, 内部の瓦トメの取付,f002.jpg
瓦トメ, ,f003.jpg
瓦トメの設置, ,f005.jpg
瓦トメの設置, ,f004.jpg
壁との隙間を埋める, ,f006.jpg
壁との隙間を埋める, ,f007.jpg
瓦入れ, ,f008.jpg
瓦入れ, ,f009.jpg
瓦入れ, ,f010.jpg
隙間を塞ぐ, ,f011.jpg
形を整える, 仕上げ,f013.jpg
三日月をつくる, ,f012.jpg
左右のバランス良く埋める, ,f014.jpg
左右のバランス良く埋める, ,f015.jpg
左右のバランス良く埋める, ,f016.jpg
壁面の補修1, ,f017.jpg
壁面と三日月の補修2, ,f018.jpg
ズレ止め, 瓦のズレをワイヤーで止める,f019.jpg
瓦 ズレ止め, ,f020.jpg
ズレ止め完了, ,f021.jpg
ズレ止め, 上から見たところ,f022.jpg
北面の瓦ズレ止め, ワイヤーで止める,f023.jpg
完了1, ,f024.jpg
完成, ,f112.jpg
全景, ,f025.jpg
