caption, comment, image
平屋軒天(6/14), 平屋の軒天も完成です。, mi65.jpg
平屋の2重庇(6/18), ２重庇の上部の軒天も手塗りしました。, chs9.jpg
玄関の軒天(施工前)(6/12), 化粧合板の劣化が進んでいます。, nokit1.jpg
玄関の軒天(施工後)(6/20), 軒天に新しい化粧合版を貼っていきます。, nokit2.jpg
玄関軒天完成(6/22), 玄関軒天の完成です。, nokit3.jpg
玄関柱・桁・垂木の塗装, 完璧に新築同等になりました。, mi62.jpg
駐車場の塗装(6/20), 鉄部には赤錆がでいます。, chs1.jpg
駐車場の内部(6/12), 天井の劣化が進んでいます。, chs2.jpg
天井の現況(6/14), 経年劣化による塗装の剥がれ。, chs3.jpg
階段部の塗装前(6/5), 階段も錆が発生しています。, chs4.jpg
駐車場の屋根の現状, コーキングなどで補修してありました。, chs8.jpg
駐車場屋根の現状, , chs5.jpg
塗装面のペーパー掛け, 塗装ののりやすい状態にします。, chs6.jpg
屋根面の処理(6/8), はみ出したコーキング等の処理。, chs7.jpg
駐車場の下塗り, ペーパー掛けから下塗りが始まります。, chs15.jpg
中塗り・上塗り, 丁寧に階段も塗りあげていきます。, chs16.jpg
屋根部の(5/20), 屋根部も念入りに塗ります。, chs17.jpg
手摺も手塗りで(6/15), 一つ一つきちんと塗り上げていきます。, chs18.jpg
駐車場の軒天(6/15), 軒天までしっかり塗ります。, chs19.jpg
細部も手塗りで(6/15), 届かないところは梯子を使って塗ります。, chs20.jpg
全体を塗り上げる(6/23), 全体が塗り上がってきました。, chs21.jpg
土台にも塗装して(6/28), 土台に塗装を施して雨水から守ります。, chs22.jpg
階段の上塗り(6/18), 上塗りで更に美しくなります。, chs23.jpg
屋根の上塗り(6/12), 上塗り仕上げで艶が蘇ります。, chs24.jpg
つやつやの仕上がり(6/20), 光沢のある仕上がりになりました。, chs25.jpg
内部塗装も完璧に(6/22), 細部にわたり内部も仕上げます。, chs27.jpg
駐車場の柱の塗装, 柱も塗ります。, chs26.jpg
ポリカの張替え(6/20), ポリカも一緒に張り替えます。, chs28.jpg
駐車場の天井部(6/12), 天井の経年劣化, chs29.jpg
天井も美しく(6/14), 色つやも素晴らしい仕上がりです。, chs31.jpg
内壁部も上塗り完成(6/5), 内壁・天井・柱・土台などの仕上げ塗り。, chs30.jpg
駐車場の塗装が完成, 駐車場の塗装が完成しました。, chs32.jpg
駐車場の全景, 駐車場の塗装が完成しました。, chs333.jpg
駐車場内部塗装の完成, 落ち着いた色合いになりました。, chs33.jpg
屋根漆喰の補修(7/7), 屋根の漆喰も一緒に補修します。, chs34.jpg
漆喰の補修, 雨水から屋根を守ります。, chs35.jpg
完成, , mi741.jpg
玄関庇, , nokit31.jpg
外部からは見えない軒天の塗装, , mi1121.jpg
階段, , chs23.jpg
駐車場おどりば・手摺り, , mu222.jpg
駐車場の屋上, , chs25.jpg
駐車場のポリカの壁, , chs28.jpg
駐車場の天井, , chs31.jpg
駐車場の内壁部, , chs30.jpg
駐車場の全景, , chs333.jpg
屋根1, , mu111.jpg
屋根2, , mu121.jpg
漆喰, , chs35.jpg
自宅全景1, , mi7_91.jpg
自宅全景2, , mi731.jpg
自宅全景3, , mi751.jpg
全景, , mi1131.jpg
