caption, comment, image
現調 （施工前),西側の外壁とベランダの痛みがひどいので、ベランダは撤去、西側の外壁は剥がして下地からやり直しをする大きな工事になりました。駐車場の天井もベランダの割れがひどく雨水が沁みている状態でした。,y1
現調 2,,y2
現調 3,,y3
現調 4,,y4
構造材補強補修工事,西側の外壁とベランダを撤去後、構造材の補強補修工事が必要になりました。雨水がベランダの割目から入り構造材もかなり腐食が進んでいました。外壁の塗装の前にシッカリと検査して補修致しますのでご安心ください。,y41
構造材補強補修工事 2,,y42
構造材補強補修工事 3,,y43
構造材補強補修工事 4,,y44
ベランダを撤去し、左官工事のための下地づくりと駐車場の天井の補修工事,西側の外壁とベランダを撤去後、左官工事のための下地づくりからやり直しました。同時並行で、駐車場の天井も修復しました。玄関庇は新しく増築して、駐車場への雨水の入り込みを防ぎました。,y5
補修工事 2,,y6
補修工事 3,,y8
補修工事 4,,y7
左官補修工事,下地づくりが完了、やっと左官工事ができるようになりました。見事に蘇る外壁に施主の方も大満足でした。駐車場の壁も綺麗なペパーミントブルーに仕上げました。この後に外壁の防水塗装工事が始まります。,y9
左官補修工事 2,,y10
左官補修工事 3,,y11
左官補修工事 4,,y12
玄関の庇と塀の防水塗装工事と板金工事,板金工事は軽くて丈夫なガルバを使いました。木部の塗装も落ち着いた色合いに仕上げ外壁の白色にピッタリの土蔵仕上がりのような趣のある仕上がりになりました。,y14
板金工事 2,,y16
板金工事 3,,y15
板金工事 4,,y17
屋根防水塗装工事,外壁防水塗装と屋根防水塗装で新築の姿が蘇ってきました。屋根に光沢が戻り、風格と品格のある佇まいになりました。,y18
屋根防水塗装工事 2,,y19
屋根防水塗装工事 3,,y20
屋根防水塗装工事 4,,y21
外壁防水塗装工事完了 完成写真,外壁防水塗装の色は白で仕上げ土蔵造りのイメージが家全体を品のある美しさに仕上がりました。新築したばかりの姿が蘇ってきました。,y22
完成写真 2,,y220
完成写真 3,,y23
完成写真 4,,y24
完成写真 5,,b1
完成写真 6,,b2
完成写真 7,,b3
完成写真 8,,b4
完成写真 9,,b5
