caption, comment, image
玄関木部の現状1, , fk01.jpg
サッシ枠現状2, , fk1.jpg
東面の現状, , f005.jpg
破風板の現状, , fk2.jpg
水道管の経年劣化, , fk01_1.jpg
物干し場の屋根現状, , fk03.jpg
玄関木部取替現状, , f001.jpg
木製玄関見切りの取替, , f004.jpg
木製サッシ枠, 取り替え, f003.jpg
3勝手口木部枠, 取り替え, f002.jpg
水道管カバー撤去, 劣化したカバーを剥がす, fk4.jpg
足場組み, , fk05.jpg
防水塗装1, , fk3.jpg
防水塗装2, , fk02.jpg
玄関木部の養生, 外壁のはみ出し防止, fk10.jpg
劣化したポリカの撤去, , fk8.jpg
物干し場下塗り, , fk5.jpg
戸羽子の上塗り8, , fk6.jpg
物干し鉄柱の仕上げ塗装, , fd0.jpg
木部の上塗り, 木部各処の上塗り, fd3.jpg
小庇の上塗り, , fd4.jpg
破風板の上塗り, , fd5.jpg
破風板の上塗り, , fd10.jpg
窓枠の上塗り, , fd6.jpg
物干し場の鉄柱の補修, 錆の部分を補強, fd9.jpg
ポリカの張替, , fd7.jpg
ポリカの張替2, , fd8.jpg
玄関木部上塗り, , f1010t.jpg
完成1, , f0101.jpg
完成2, , f0202.jpg
