caption, comment, image
施工前(4/20), 現状, 1im0
施工前, 屋根の経年劣化が進んでいます。, 1im1
屋根の現況, , 1im420
足場組み(4/24), , asiba110
足場組み(4/25), , asiba111
高圧洗浄(4/26), 洗浄により劣化した塗膜や汚れが綺麗に落ちます。, yane1111
高圧洗浄, , yane1112
高圧洗浄, , yane1113
高圧洗浄後の屋根, , yj3
養生, , yj2
養生(4/26), 細部に至るまで塗装がつかないようにしっかり覆います。, yj1
コーキング打ち直し(4/30), 古いコーキングを丁寧に取り去って打ち直しを行います。, kg114
屋根の高圧洗浄, 洗浄だけでかなり表面の塗装が落ちます。, mm1
屋根高圧洗浄, ほこりや汚れを綺麗に落とします。, mm3
屋根塗装, 下塗りの後に中塗り。, mm3_1
屋根塗装, 中塗り。, mm5_2
屋根中塗り, 重ねて塗っていきます。, mm5
完成1, , mm6
完成2, , mm5_3
完成3, , mm4
外観1, 外壁も新築の姿に, mm7
外観2, , mm10
全景2, 新築そっくりに蘇りました。, mm8
全景3, , mm11
全景4, , mm9
