caption, comment, image
現状 (5/12),瓦に割れ・ヒビ等があり雨漏りの原因,  yyk02
現状確認,,yyk03
瓦の差し替え,傷んだ瓦のチェック,  yyk04
高圧洗浄,瓦の汚れを落とす,  yyk00
下・中塗り,,yyk05
瓦取り差し替え (6/9),差し替えた瓦はテープを貼って区別,  yyk06
三ヶ月漆喰の現状,,yyk07
三ヶ月漆喰下 瓦の現状 1,割れ。ヒビ等の確認,  yyk09
三ヶ月漆喰の現状 2,,yyk08
冠下の現状の確認,,  yyk10
新品と差し替え1 (6/12),下塗り・中塗りも手塗りで細部まで塗ります。,  yyk13
新品と差し替え2,,  yyk14
冠を外し漆喰入れ1 ,,  yyk15
古い土の撤去 ,,yyk17
漆喰の入れ直し ,,yyk16
冠を被せて完成 1 ,,yyk18
三ヶ月漆喰完成 ,,yyk19
漆喰完了 ,,yyk20
漆喰完了2 ,新しいビス釘で止める,  yyk21
ビス釘まわりのコーキング 3 ,,yyk22
上塗り (7/12),,yyk23
上塗り,細部にわたり手塗りで仕上げ,  yyk25
手塗り仕上げ ,一枚一枚手塗りで仕上げます,  yyk26
完成後の全景1 ,,yyk27
完成後の全景2 ,,yyk28
完成後の全景3 ,,yyk29
完成後の全景4 ,,yyk30
